,runname,query_id,metric,value
0,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.6352451865099221
1,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
2,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,0.9467244958257146
3,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.8165947438803827
4,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.7370820088190936
5,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9569696761365403
6,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9923102205173033
7,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.8451500498267627
8,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.9873863389671662
9,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,0.9968854373397219
10,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.9749100976704224
11,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
12,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
13,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.9817513706383726
14,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,0.9836093072473803
15,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.977802289660066
16,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.982955626236697
17,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9859799497762319
18,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,0.9846080344975473
